Original: get|min|height , predicted 1st: get|min|height
Original: murmur|hash , predicted 1st: to|x
Original: calculate|length , predicted 1st: set|up|length
Original: create , predicted 1st: init
Original: set , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: set|amount , predicted 1st: set
Original: fetch|attributes , predicted 1st: init
Original: slice , predicted 1st: to|array|buffer
Original: calc|measures , predicted 1st: get|border
Original: project|on|plane , predicted 1st: on
Original: set|uniform|matrix , predicted 1st: 
Original: add , predicted 1st: get
Original: set|cluster|iterations , predicted 1st: set|data|data|config|config
Original: resizable|queue|test , predicted 1st: test
Original: create|entry , predicted 1st: create|entry
Original: calculate|position|and|value , predicted 1st: set|value
Original: get , predicted 1st: get|array
Original: create|entry , predicted 1st: create|entry
Original: is|directory , predicted 1st: contains|url
Original: create|entry , predicted 1st: create|entry
Original: get|x , predicted 1st: get|x
Original: create|entry , predicted 1st: create|entry
Original: len , predicted 1st: get|float
Original: get|angle|rad , predicted 1st: get|float
Original: cleanup , predicted 1st: clear
Original: get|y|axis , predicted 1st: set
Original: get|multiple , predicted 1st: is|multiple
Original: scale , predicted 1st: set|dirty
Original: merge , predicted 1st: set
Original: put , predicted 1st: set|array
Original: get|scale|x , predicted 1st: get|x|x
Original: set|range , predicted 1st: set|max
Original: get|scale|y , predicted 1st: get|y|y
Original: set|uniformf , predicted 1st: set|value
Original: cancel|vibrate , predicted 1st: run
Original: free , predicted 1st: set
Original: remove|test , predicted 1st: test|remove
Original: get|type , predicted 1st: get|data|type
Original: ready , predicted 1st: is
Original: build , predicted 1st: test
Original: generate|lookups , predicted 1st: generate|stub
Original: compare , predicted 1st: compare
Original: compare , predicted 1st: compare
Original: compare , predicted 1st: compare
Original: spawn|aux , predicted 1st: set
Original: clamp , predicted 1st: 
Original: get|type , predicted 1st: get|type|type
Original: initialize|components , predicted 1st: create|center|panel
Original: points|changed , predicted 1st: set|up
Original: state|changed , predicted 1st: on|change
Original: state|changed , predicted 1st: on|change
Original: state|changed , predicted 1st: on|change
Original: state|changed , predicted 1st: on|change
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: set|up
Original: action|performed , predicted 1st: set|up
Original: action|performed , predicted 1st: action|performed
Original: write|utf , predicted 1st: write
Original: create|entry , predicted 1st: create|entry
Original: points|changed , predicted 1st: set|up
Original: state|changed , predicted 1st: on|change
Original: state|changed , predicted 1st: on|change
Original: state|changed , predicted 1st: on|change
Original: state|changed , predicted 1st: on|change
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: set|selected
Original: action|performed , predicted 1st: set|up
Original: action|performed , predicted 1st: set|up
Original: set|uniformi , predicted 1st: set|value
Original: iteration , predicted 1st: test|of|value|of
Original: vibrate , predicted 1st: set
Original: has|hit , predicted 1st: is
Original: pop|scissors , predicted 1st: get
Original: bary|coord , predicted 1st: 
Original: draw , predicted 1st: set
Original: allocate|channels , predicted 1st: run
Original: get|amount|y , predicted 1st: get|y
Original: set|collision|filter|mask , predicted 1st: set|result
Original: is|catch|back|key , predicted 1st: is|show
Original: set|vertex|attribute , predicted 1st: add
Original: transform , predicted 1st: to|x
Original: get|scaling , predicted 1st: get
Original: compact , predicted 1st: get
Original: remove|index , predicted 1st: get|value
Original: get|placeholder , predicted 1st: get|placeholder
Original: render , predicted 1st: run
Original: draw , predicted 1st: 
Original: is|blending|enabled , predicted 1st: is|disabled|disabled
Original: find|constructor , predicted 1st: get|constructor|constructor
Original: get|dimpulses , predicted 1st: get|float
Original: get|ldamping , predicted 1st: get|data|data|options
Original: create , predicted 1st: run
Original: run , predicted 1st: run
Original: set|duplicate|border , predicted 1st: set|border
Original: get|widget , predicted 1st: get
Original: get|ground|anchor|b , predicted 1st: get
Original: get|assets , predicted 1st: get|shared|assets
Original: get|joint|speed , predicted 1st: get
Original: tap , predicted 1st: 
Original: fire|change|event , predicted 1st: is|event
Original: set|uniform|fv , predicted 1st: add
Original: create|entry , predicted 1st: create|entry
Original: get|rect , predicted 1st: get
Original: set , predicted 1st: set
Original: contains , predicted 1st: is|valid
Original: set , predicted 1st: create|entry
Original: swig|director|disconnect , predicted 1st: delete
Original: pause , predicted 1st: method
Original: area , predicted 1st: get
Original: dot , predicted 1st: set
Original: put , predicted 1st: read
Original: set|rigid|contact|hardness , predicted 1st: set|data|data|data
Original: add|all , predicted 1st: add|all
Original: write|double , predicted 1st: write
Original: put , predicted 1st: put
Original: get , predicted 1st: write
Original: scroll|to , predicted 1st: paint
Original: touch|dragged , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: get|pref|height , predicted 1st: get|height
Original: begin , predicted 1st: get|items
Original: create|entry , predicted 1st: create|entry
Original: is|identity , predicted 1st: is|equal
Original: get|selected , predicted 1st: first
Original: select|index , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: first , predicted 1st: get|value
Original: put , predicted 1st: get|bytes
Original: render|mesh , predicted 1st: set
Original: get|percent|complete , predicted 1st: get|min
Original: clean|up , predicted 1st: run
Original: clear , predicted 1st: reset
Original: line , predicted 1st: 
Original: touch|down , predicted 1st: set|position
Original: put , predicted 1st: set|array
Original: create|entry , predicted 1st: create|entry
Original: to|array , predicted 1st: iterator
Original: protected|array|offset , predicted 1st: get|value
Original: create|entry , predicted 1st: create|entry
Original: compute|mass , predicted 1st: 
Original: set|center , predicted 1st: set|position
Original: get|sin , predicted 1st: get|s
Original: load , predicted 1st: parse
Original: get|x , predicted 1st: get|x
Original: set|dimpulses , predicted 1st: set|data|data
Original: has|attribute , predicted 1st: contains
Original: get|y , predicted 1st: get|end|end
Original: set|cursor|catched , predicted 1st: set
Original: spawn|aux , predicted 1st: create|entry
Original: set|as|box , predicted 1st: create|entry
Original: protected|array , predicted 1st: get|read|read|read
Original: create|entry , predicted 1st: create|entry
Original: sort , predicted 1st: sort
Original: duplicate , predicted 1st: copy
Original: remove|value , predicted 1st: remove
Original: is|disabled , predicted 1st: is|disabled
Original: render , predicted 1st: run
Original: mul , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get|x|axis , predicted 1st: set
Original: get|tiled|drawable , predicted 1st: get
Original: get|angle|around|rad , predicted 1st: get|last|item
Original: clear , predicted 1st: test|remove
Original: restart , predicted 1st: set|up
Original: reset , predicted 1st: reset
Original: get|duplicate|border , predicted 1st: is|create
Original: load , predicted 1st: load
Original: create|entry , predicted 1st: create|entry
Original: create|type|invokables , predicted 1st: create|stub
Original: dispose , predicted 1st: dispose
Original: put , predicted 1st: get|int
Original: get|selection , predicted 1st: get|selection
Original: create|entry , predicted 1st: create|entry
Original: copy , predicted 1st: read|to
Original: get , predicted 1st: get
Original: put , predicted 1st: set
Original: get|collision|object , predicted 1st: get|object
Original: set|high|max , predicted 1st: set|max|max
Original: pop , predicted 1st: get
Original: protected|array , predicted 1st: get|read|read|read|read
Original: get|field|value , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: invoke , predicted 1st: invoke
Original: needs|collision , predicted 1st: is|proxy
Original: create , predicted 1st: test
Original: write , predicted 1st: set|value
Original: create|entry , predicted 1st: create|entry
Original: set|x , predicted 1st: set|x|x
Original: put , predicted 1st: set|array
Original: get|width , predicted 1st: get|width
Original: set|position , predicted 1st: set|position
Original: create , predicted 1st: create|test
Original: mul|to|out|unsafe , predicted 1st: 
Original: set|scroll|percent|x , predicted 1st: foo
Original: create|entry , predicted 1st: create|entry
Original: get|max|motor|force , predicted 1st: get|max|max
Original: enable|point|sprites , predicted 1st: init
Original: generate|texture|atlas , predicted 1st: create
Original: get|array|element , predicted 1st: get|element
Original: load|async , predicted 1st: add|file
Original: put , predicted 1st: set
Original: layout , predicted 1st: run
Original: copy , predicted 1st: get|attribute
Original: create|entry , predicted 1st: create|entry
Original: order , predicted 1st: get|order|order
Original: create|entry , predicted 1st: create|entry
Original: get|m|index|count , predicted 1st: get
Original: polyline , predicted 1st: set
Original: check|managed , predicted 1st: 
Original: get|scroll|percent|x , predicted 1st: 
Original: get|style , predicted 1st: get|style|style
Original: truncate , predicted 1st: set|new
Original: get|visual|percent , predicted 1st: apply
Original: get|drawable , predicted 1st: get
Original: convert , predicted 1st: get|class|name
Original: dispose , predicted 1st: dispose
Original: create|entry , predicted 1st: create|entry
Original: get|knob|drawable , predicted 1st: get|style
Original: has|items , predicted 1st: is|empty
Original: create|entry , predicted 1st: create|entry
Original: project|origin , predicted 1st: 
Original: get|vertices , predicted 1st: get|m
Original: evaluate|medium , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|visual|value , predicted 1st: get|value
Original: add , predicted 1st: add|resource
Original: set|motor|speed , predicted 1st: set
Original: get|contains|anchor , predicted 1st: get|data|size
Original: compact , predicted 1st: set
Original: mul|to|out , predicted 1st: set
Original: as|read|only|buffer , predicted 1st: get
Original: is|scrolling|disabled|y , predicted 1st: is|hide
Original: read , predicted 1st: set|json
Original: get|page|index , predicted 1st: get
Original: create , predicted 1st: run
Original: get|color , predicted 1st: get|color
Original: protected|has|array , predicted 1st: is
Original: put|double , predicted 1st: put|long
Original: set|object , predicted 1st: set|asset
Original: iterator , predicted 1st: iterator
Original: set|from|axes , predicted 1st: 
Original: get|scale|y , predicted 1st: get|y|y
Original: after|groups , predicted 1st: test
Original: cast , predicted 1st: get|string
Original: set|uniformf , predicted 1st: set|value
Original: write , predicted 1st: set|json|json
Original: is|key|just|pressed , predicted 1st: is|key
Original: set , predicted 1st: set
Original: link|program , predicted 1st: get
Original: render , predicted 1st: test
Original: get|max|x , predicted 1st: get|max|x
Original: create|entry , predicted 1st: create|entry
Original: compact , predicted 1st: get|buffer
Original: protected|array , predicted 1st: get|array
Original: from|string , predicted 1st: parse
Original: set|lv , predicted 1st: set|data|data
Original: get|polyline , predicted 1st: get
Original: set|uniform|matrix , predicted 1st: set|mapping
Original: set|value , predicted 1st: set|value
Original: dispose , predicted 1st: dispose
Original: get|y , predicted 1st: get|y
Original: next , predicted 1st: get
Original: get|collision|filter|mask , predicted 1st: get|result
Original: dispose , predicted 1st: dispose
Original: translate , predicted 1st: set|dirty
Original: set|texture , predicted 1st: show|custom
Original: get|spawn|width , predicted 1st: get|value|value
Original: line , predicted 1st: draw
Original: create|entry , predicted 1st: create|entry
Original: as|read|only|buffer , predicted 1st: get
Original: set|overscroll , predicted 1st: set
Original: update , predicted 1st: set
Original: set|field|value , predicted 1st: set|value
Original: is|connected , predicted 1st: is
Original: put , predicted 1st: set|array
Original: set|onscreen|keyboard|visible , predicted 1st: set|visible|visible
Original: create|entry , predicted 1st: create|entry
Original: generate , predicted 1st: do|get
Original: create , predicted 1st: create
Original: hide , predicted 1st: run
Original: get|packed|color , predicted 1st: get|color
Original: set , predicted 1st: set
Original: put , predicted 1st: get|buffer
Original: get|viewport , predicted 1st: get
Original: create|capsule|model , predicted 1st: create
Original: index|of , predicted 1st: get
Original: last|index|of , predicted 1st: get
Original: rotate , predicted 1st: set|dirty
Original: set|adamping , predicted 1st: set|data|data|options
Original: triangle , predicted 1st: set|right
Original: set|uniform|matrix , predicted 1st: set
Original: is|catch|menu|key , predicted 1st: is|show
Original: write|png , predicted 1st: write
Original: add|light , predicted 1st: set|point
Original: set|uniform|matrix , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|origin|x , predicted 1st: get|x
Original: set|catch|menu|key , predicted 1st: set|menu|menu
Original: new|low|value , predicted 1st: random
Original: create|entry , predicted 1st: create|entry
Original: get|count , predicted 1st: get|count
Original: seek , predicted 1st: set
Original: get|max|y , predicted 1st: get|max|y
Original: create|entry , predicted 1st: create|entry
Original: resolve , predicted 1st: resolve
Original: is|touched , predicted 1st: is|enabled
Original: consume|custom|data , predicted 1st: set|target
Original: get|rotation , predicted 1st: get
Original: set|uniformi , predicted 1st: set|location
Original: create|world , predicted 1st: create|entry
Original: get|m|face|count , predicted 1st: get
Original: update , predicted 1st: run
Original: set|uniform|matrix , predicted 1st: set|mapping
Original: get|max|length , predicted 1st: get|max|length
Original: draw , predicted 1st: set
Original: get|group|shader , predicted 1st: get
Original: set|prefix , predicted 1st: set|prefix
Original: get|spawn|depth , predicted 1st: get|value
Original: get|vertex|color , predicted 1st: get|color|color
Original: create|entry , predicted 1st: create|entry
Original: copy , predicted 1st: copy
Original: put , predicted 1st: set
Original: dispose , predicted 1st: dispose
Original: create|entry , predicted 1st: create|entry
Original: set|flick|scroll , predicted 1st: set|scroll
Original: contains , predicted 1st: is
Original: set|uniform|fv , predicted 1st: add
Original: set|transform|matrix , predicted 1st: set
Original: flush , predicted 1st: get|data
Original: clear|all|shader|programs , predicted 1st: remove
Original: act , predicted 1st: remove
Original: create|entry , predicted 1st: create|entry
Original: is|read|only , predicted 1st: is
Original: get|asset|path , predicted 1st: get
Original: remove|all , predicted 1st: remove|all
Original: setup|scene , predicted 1st: test
Original: set , predicted 1st: set
Original: draw , predicted 1st: get|region
Original: set|idmass , predicted 1st: set|data|data|options
Original: put|short , predicted 1st: set|value
Original: polyline , predicted 1st: set
Original: get|axis|angle|rad , predicted 1st: get
Original: get|max|volume , predicted 1st: get|native|data|config|max|data
Original: get|collision|filter|group , predicted 1st: get|result
Original: get|transform|matrix , predicted 1st: get|transform
Original: render , predicted 1st: test
Original: test|value|matches|index , predicted 1st: test
Original: rect , predicted 1st: paint
Original: scroll|to , predicted 1st: scroll|to|scroll
Original: is|bottom|edge , predicted 1st: is|scroll
Original: before|group , predicted 1st: set|group
Original: delegate , predicted 1st: is
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: disable|blending , predicted 1st: flush
Original: create , predicted 1st: run
Original: create|entry , predicted 1st: create|entry
Original: set , predicted 1st: 
Original: get|normal , predicted 1st: get|float
Original: render , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: initialize , predicted 1st: set
Original: set|size , predicted 1st: set|height
Original: generate , predicted 1st: get|source|source
Original: set|identity , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: get|soft|rigid|cluster|impulse|split , predicted 1st: get|soft|soft|soft|soft|data
Original: get|transformed|vertices , predicted 1st: get
Original: generate|premultiply|alpha , predicted 1st: create|entry
Original: set|uniformi , predicted 1st: set|value
Original: swap , predicted 1st: set|array
Original: put , predicted 1st: get|double
Original: is|audio , predicted 1st: contains|url
Original: set|style , predicted 1st: set|style|style
Original: show , predicted 1st: run
Original: crc , predicted 1st: get|input
Original: fetch|uniform|location , predicted 1st: create|entry
Original: get|reference|angle , predicted 1st: get|reference
Original: set|style , predicted 1st: set|style|style
Original: mul|trans , predicted 1st: set
Original: put , predicted 1st: set
Original: activate|particles , predicted 1st: start
Original: mul|left , predicted 1st: to|x
Original: create , predicted 1st: test
Original: delete , predicted 1st: delete
Original: set|volume , predicted 1st: set|data|data|data
Original: init , predicted 1st: init
Original: println , predicted 1st: assert|line
Original: read|int , predicted 1st: read|int
Original: copy , predicted 1st: write
Original: set|ref|count , predicted 1st: set|count
Original: create|entry , predicted 1st: create|entry
Original: get|text|input , predicted 1st: show|text
Original: copy , predicted 1st: read
Original: pn , predicted 1st: print
Original: set|uniform|fv , predicted 1st: set
Original: get|knob|position , predicted 1st: get|position
Original: fast|min , predicted 1st: compare
Original: set|cull|face , predicted 1st: set
Original: cancel|touch|focus , predicted 1st: cancel
Original: read|float , predicted 1st: read|float
Original: set|uniform|fv , predicted 1st: set
Original: get|units|per|pixel , predicted 1st: get|ss
Original: get|composite , predicted 1st: get|composite
Original: load , predicted 1st: parse
Original: reset , predicted 1st: reset
Original: get|nvimpulses , predicted 1st: get|data|data|size
Original: set|attributef , predicted 1st: set|value
Original: set|vertex|attribute , predicted 1st: add
Original: set|required , predicted 1st: set|required|required
Original: set|ldamping , predicted 1st: set|data|data|options
Original: set|scale , predicted 1st: set|scale
Original: as|read|only|buffer , predicted 1st: copy|buffer
Original: set|rotation , predicted 1st: set|end
Original: protected|array , predicted 1st: get|read|read|read
Original: create|entry , predicted 1st: create|entry
Original: write|cim , predicted 1st: write
Original: set|scroll|x , predicted 1st: 
Original: copy|directory , predicted 1st: copy
Original: calculate|scissors , predicted 1st: set
Original: resize , predicted 1st: update
Original: mass|matrix , predicted 1st: 
Original: update , predicted 1st: 
Original: rotate , predicted 1st: set|dirty
Original: get|velocity|iterations , predicted 1st: get|data|data|data
Original: set|m|index|count , predicted 1st: set
Original: is|image , predicted 1st: contains|url
Original: touch|dragged , predicted 1st: write
Original: get , predicted 1st: get
Original: protected|has|array , predicted 1st: is|show
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: get|pass|quantity , predicted 1st: get|quantity
Original: set|amount|y , predicted 1st: set|y
Original: main , predicted 1st: register
Original: run , predicted 1st: test
Original: put , predicted 1st: get|text
Original: copy , predicted 1st: create
Original: get|outer|class , predicted 1st: get|type
Original: get|toggle , predicted 1st: is
Original: get|style , predicted 1st: get|style|style
Original: new|high|value , predicted 1st: random|min
Original: delete , predicted 1st: delete
Original: copy , predicted 1st: get|value
Original: create , predicted 1st: test
Original: next , predicted 1st: get
Original: get|material , predicted 1st: get|data|data
Original: draw , predicted 1st: 
Original: set|color , predicted 1st: set|color
Original: triangle , predicted 1st: paint
Original: set|uniformf , predicted 1st: set
Original: get|rotation , predicted 1st: get
Original: get|soft|kinetic|cluster|impulse|split , predicted 1st: get|soft|soft|soft|soft|data
Original: set|av , predicted 1st: set|data|data
Original: set|contains|anchor , predicted 1st: set|value|is|master
Original: fit|outside , predicted 1st: get
Original: draw|line , predicted 1st: draw|line
Original: align|method|bodies , predicted 1st: set|method
Original: set|uniformf , predicted 1st: set
Original: set|uniform|matrix , predicted 1st: set|mapping
Original: set|projection|matrix , predicted 1st: set
Original: dispose , predicted 1st: dispose
Original: create|entry , predicted 1st: create|entry
Original: write|boolean , predicted 1st: write
Original: add , predicted 1st: set|value
Original: remove , predicted 1st: add
Original: blur , predicted 1st: create
Original: create|entry , predicted 1st: create|entry
Original: optional , predicted 1st: get|type
Original: on|model|clicked , predicted 1st: load
Original: create|entry , predicted 1st: create|entry
Original: set|amount , predicted 1st: set|width
Original: set|position , predicted 1st: set
Original: get|byte|buffer , predicted 1st: get|byte|buffer
Original: put , predicted 1st: write
Original: get|high|min , predicted 1st: get|min|min
Original: add|regions , predicted 1st: add
Original: random , predicted 1st: random
Original: set|max|length , predicted 1st: set|length|length
Original: get|style , predicted 1st: get|style
Original: sort , predicted 1st: sort
Original: setup|fade|scroll|bars , predicted 1st: set|delay|delay|delay
Original: set|animate|interpolation , predicted 1st: set
Original: set|from|axis , predicted 1st: set|from
Original: get|low|max , predicted 1st: get|max
Original: create|entry , predicted 1st: create|entry
Original: create , predicted 1st: set
Original: set|size , predicted 1st: set|height
Original: get|asset|output|path , predicted 1st: get|path
Original: draw , predicted 1st: paint
Original: remove , predicted 1st: set
Original: lerp , predicted 1st: 
Original: get|angle|around|rad , predicted 1st: foo
Original: set|opacity , predicted 1st: set
Original: reverse , predicted 1st: test
Original: get|format , predicted 1st: get|format|format
Original: compute|aabb , predicted 1st: to|x
Original: read|boolean , predicted 1st: read|boolean
Original: dirty , predicted 1st: reset
Original: set|color , predicted 1st: set|float
Original: box , predicted 1st: paint|renderer
Original: set|shader , predicted 1st: set|up
Original: set|soft|rigid|cluster|hardness , predicted 1st: set|soft|soft|soft|soft|value
Original: create|entry , predicted 1st: create|entry
Original: add|particles , predicted 1st: set|count
Original: get|pixel , predicted 1st: get|data
Original: pb , predicted 1st: append
Original: create|entry , predicted 1st: create|entry
Original: get|av , predicted 1st: get|float
Original: set|uniform|matrix|fv , predicted 1st: set|chars
Original: get|vertices , predicted 1st: get|local
Original: just|touched , predicted 1st: is
Original: plug|in , predicted 1st: add
Original: create|entry , predicted 1st: create|entry
Original: create , predicted 1st: run
Original: changed , predicted 1st: on|change
Original: changed , predicted 1st: on|on|on|on|on
Original: set|scale , predicted 1st: set|scale
Original: create|entry , predicted 1st: run
Original: changed , predicted 1st: on|change
Original: changed , predicted 1st: on|on|on|on|on
Original: begin , predicted 1st: test
Original: set , predicted 1st: set
Original: set , predicted 1st: set|descriptor
Original: volume|of , predicted 1st: 
Original: parameter|initialization , predicted 1st: test|parameter|parameter|parameter
Original: mul , predicted 1st: to|x
Original: set|scaling , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: draw , predicted 1st: set
Original: get|native|code|bodies , predicted 1st: get
Original: get|x , predicted 1st: get|weight
Original: get|gradle|args , predicted 1st: get|list|list
Original: get|f , predicted 1st: test
Original: is|identity , predicted 1st: is
Original: get|all , predicted 1st: get
Original: get|test , predicted 1st: test|remove
Original: create|entry , predicted 1st: create|entry
Original: get|list , predicted 1st: get|list|list
Original: create|entry , predicted 1st: create|entry
Original: get|high|max , predicted 1st: get|max|max
Original: set|x , predicted 1st: to|x
Original: get|polygon , predicted 1st: get|polygon
Original: create|entry , predicted 1st: create|entry
Original: set|num|masses , predicted 1st: set|num|data|num|num|options
Original: get|variable|size|knobs , predicted 1st: is|size
Original: create|entry , predicted 1st: create|entry
Original: is|child , predicted 1st: is|path
Original: is|peripheral|available , predicted 1st: is
Original: duplicate , predicted 1st: copy
Original: get|current|event|time , predicted 1st: get|value
Original: put , predicted 1st: write
Original: rect|line , predicted 1st: set|renderer
Original: create|entry , predicted 1st: create|entry
Original: is|dragging , predicted 1st: is
Original: set , predicted 1st: set
Original: set|drift|iterations , predicted 1st: set|data|data|data
Original: fill|or|stroke|path , predicted 1st: draw|type
Original: clear , predicted 1st: set
Original: get|renderables , predicted 1st: add
Original: set|depth|mask , predicted 1st: set|depth
Original: finish , predicted 1st: run
Original: set|animate|duration , predicted 1st: set|duration
Original: on|ok , predicted 1st: set
Original: as|read|only|buffer , predicted 1st: copy|read|buffer|buffer
Original: set|projection|matrix , predicted 1st: set
Original: set|high|min , predicted 1st: set|min|min
Original: get|save|data , predicted 1st: get|current|load
Original: read , predicted 1st: set|json
Original: set|normal , predicted 1st: set|data|data
Original: wrap , predicted 1st: get|short
Original: put|double , predicted 1st: set
Original: write , predicted 1st: set|json
Original: get , predicted 1st: get|short
Original: len , predicted 1st: get
Original: set|num|nodes , predicted 1st: set|num|data|num|num|options
Original: swig|release|ownership , predicted 1st: test
Original: store , predicted 1st: write
Original: get|roll , predicted 1st: get
Original: get|accelerometer|y , predicted 1st: get
Original: tap , predicted 1st: set
Original: touch|down , predicted 1st: write
Original: create|entry , predicted 1st: create|entry
Original: initialize|components , predicted 1st: create|content
Original: points|changed , predicted 1st: set|up
Original: get|attribute|size , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: load|sync , predicted 1st: get
Original: put , predicted 1st: get|double
Original: create , predicted 1st: add
Original: touch|down , predicted 1st: value
Original: add|managed|shader , predicted 1st: add|resources
Original: get|swing|twist , predicted 1st: foo
Original: create , predicted 1st: test
Original: create|entry , predicted 1st: create|entry
Original: put , predicted 1st: write
Original: is|force|scroll|x , predicted 1st: is|scroll
Original: get|asset|descriptors , predicted 1st: get|descriptors
Original: create|entry , predicted 1st: create|entry
Original: set|edges , predicted 1st: set
Original: set|scale , predicted 1st: set|scale
Original: render , predicted 1st: test
Original: get|frame|buffer|pixmap , predicted 1st: 
Original: get|frame|buffer|texture , predicted 1st: get|buffer|buffer
Original: key|down , predicted 1st: is|enabled
Original: render , predicted 1st: render
Original: shrink , predicted 1st: get|items
Original: set|selected|index , predicted 1st: set|selection
Original: dispose , predicted 1st: dispose
Original: create|save|data , predicted 1st: save|data|data
Original: ellipse , predicted 1st: to|x
Original: get|yaw|rad , predicted 1st: get
Original: is|connected , predicted 1st: is
Original: put , predicted 1st: get
Original: put|double , predicted 1st: set|value
Original: create|entry , predicted 1st: create|entry
Original: get|length , predicted 1st: get|length
Original: set|fling|time , predicted 1st: set|time
Original: tick , predicted 1st: load
Original: put , predicted 1st: set|array
Original: key|up , predicted 1st: write
Original: create , predicted 1st: run
Original: create|entry , predicted 1st: create|entry
Original: save , predicted 1st: save
Original: get|resize|check|delay , predicted 1st: get|check|check|check
Original: create|entry , predicted 1st: create|entry
Original: get|visual|scroll|x , predicted 1st: to|x
Original: put , predicted 1st: get|float
Original: put , predicted 1st: set
Original: get|ground|anchor|a , predicted 1st: to|x
Original: set|blur|passes , predicted 1st: set
Original: copy , predicted 1st: read
Original: is|top|edge , predicted 1st: is|scroll
Original: read , predicted 1st: read
Original: set|soft|kinetic|cluster|hardness , predicted 1st: set|soft|soft|soft|soft|value
Original: start , predicted 1st: set|up
Original: draw|debug , predicted 1st: apply
Original: protected|array , predicted 1st: get|array
Original: impulse|matrix , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: get|file|pointer , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|vertices , predicted 1st: get|region
Original: set|lift , predicted 1st: set|data|data|data
Original: add|all , predicted 1st: add
Original: get|node|indices , predicted 1st: get|data|data|options
Original: dispose , predicted 1st: dispose
Original: read , predicted 1st: read
Original: match|edge , predicted 1st: visit
Original: create|entry , predicted 1st: create|entry
Original: restart , predicted 1st: set|up
Original: clamp , predicted 1st: 
Original: setup|ui , predicted 1st: test
Original: clicked , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: dispose , predicted 1st: dispose
Original: check , predicted 1st: add
Original: gen|cube , predicted 1st: test
Original: read|long , predicted 1st: read|long
Original: as|read|only|buffer , predicted 1st: get
Original: on|loaded , predicted 1st: run
Original: get|kinetic|contact|hardness , predicted 1st: get|jdbc|data|data
Original: get|soft|rigid|cluster|hardness , predicted 1st: get|soft|soft|soft|soft|data
Original: set|placeholder , predicted 1st: set|placeholder
Original: set|amount|height , predicted 1st: set|height
Original: get|child|count , predicted 1st: get
Original: is|panning , predicted 1st: is
Original: get|x , predicted 1st: get|x|end
Original: sort|methods|and|sections , predicted 1st: get
Original: compare , predicted 1st: compare
Original: create|entry , predicted 1st: create|entry
Original: set|flags , predicted 1st: set|result|set|result
Original: get|collide , predicted 1st: get|data|data|size
Original: get|size , predicted 1st: set
Original: get|dependencies , predicted 1st: get|file|descriptor
Original: read , predicted 1st: read
Original: visual|scroll|x , predicted 1st: set|x
Original: use|mip|maps , predicted 1st: is|use
Original: set , predicted 1st: add
Original: set|scroll|percent|y , predicted 1st: bar
Original: set|max|motor|force , predicted 1st: set|max|max
Original: initialize|components , predicted 1st: add|menu|menu
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: action|performed
Original: next|int , predicted 1st: get|int
Original: create|entry , predicted 1st: create|entry
Original: set|color , predicted 1st: set
Original: copy , predicted 1st: read|to|array|array
Original: nor , predicted 1st: 
Original: read , predicted 1st: set|json
Original: select , predicted 1st: select
Original: as|read|only|buffer , predicted 1st: new
Original: create|entry , predicted 1st: create|entry
Original: mul|trans , predicted 1st: set
Original: get|scroll|height , predicted 1st: get|height|height
Original: new|drawable , predicted 1st: 
Original: add|parameters , predicted 1st: check|stub
Original: scrolled , predicted 1st: is|enabled
Original: create|entry , predicted 1st: create|entry
Original: render , predicted 1st: test
Original: swap , predicted 1st: add
Original: protected|array , predicted 1st: get|array
Original: volume|of , predicted 1st: 
Original: snapshot , predicted 1st: clear
Original: render , predicted 1st: run
Original: get|max|value , predicted 1st: get|max
Original: set , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: set|pack|to|texture , predicted 1st: set|to|to|to
Original: set|material , predicted 1st: set|data|data
Original: update , predicted 1st: set|last
Original: decide|group , predicted 1st: get
Original: set|color , predicted 1st: set|color
Original: put , predicted 1st: get|short
Original: sort , predicted 1st: sort
Original: set|count , predicted 1st: set|count
Original: get|c|ptr , predicted 1st: get
Original: load|file , predicted 1st: load
Original: touch|down , predicted 1st: set
